"name","description",latitude,longitude
"2020","398 E BALBO DR",41.873326,-87.617351
"2021","198 E BELLEVUE PL",41.901758,-87.624653
"2022","320 N HALSTED ST",41.887605,-87.647664
"2023","240 E CHESTNUT ST",41.898558,-87.620365
"2024","300 W CHESTNUT ST",41.8983,-87.635924
"2025","450 W CHESTNUT ST",41.898242,-87.640393
"2026","120 W CHESTNUT ST",41.898109,-87.631679
"2027","300 W CHESTNUT ST",41.8983,-87.635924
"2028","50 E CHESTNUT ST",41.898471,-87.626127
"2029","200 E CHESTNUT ST",41.898493,-87.621735
"203","9659 S MICHIGAN AVE",41.718867,-87.620336
"2030","1 E CHESTNUT ST",41.898195,-87.62808
"2031","100 W CHICAGO AVE",41.896722,-87.631344
"2032","300 W CHICAGO AVE",41.896653,-87.635927
"2033","800 W CHICAGO AVE",41.896458,-87.647824
"2034","435 W CHICAGO AVE",41.896385,-87.640252
"2035","400 E CHICAGO RIVER",41.89687,-87.617099
"2036","600 W CHICAGO AVE",41.896568,-87.642841
"2037","800 N MICHIGAN AVE",41.896831,-87.624939
"2038","300 W CHICAGO AVE",41.896653,-87.635927
"2039","100 E CHICAGO AVE",41.89678,-87.625442
"204","259 S OAKLEY BLVD",41.878016,-87.683707
"2040","400 W CHICAGO AVE",41.896628,-87.638786
"2041","1 W CHICAGO AVE",41.896641,-87.628287
"2042","200 W CHICAGO AVE",41.896711,-87.634361
"2043","300 N CLARK ST",41.887915,-87.631189
"2044","300 N DEARBORN ST",41.887923,-87.629693
"2045","275 N LA SALLE ST",41.886663,-87.632348
"2046","400 E CHICAGO RIVER",41.89687,-87.617099
"2047","375 N MICHIGAN AVE",41.888008,-87.624362
"2048","300 N ORLEANS ST",41.887964,-87.636411
"2049","250 N STATE ST",41.886347,-87.628024
"205","2357 W DIVISION ST",41.902891,-87.685911
"2050","355 N LOWER COLUMBUS DR",41.887456,-87.62059
"2051","298 N LOWER COLUMBUS DR",41.88669,-87.620741
"2052","298 N LOWER COLUMBUS DR",41.88669,-87.620741
"2053","298 N LOWER COLUMBUS DR",41.88669,-87.620741
"2054","298 E CONGRESS DR",41.87591,-87.620589
"2055","500 S COLUMBUS DR",41.876764,-87.620811
"2056","100 E CONGRESS DR",41.875922,-87.623237
"2057","1 W CONGRESS PKWY",41.875534,-87.627698
"2058","195 W CONGRESS PKWY",41.875424,-87.633496
"2059","245 E DELAWARE PL",41.899189,-87.620032
"2060","275 E DELAWARE PL",41.89915,-87.619403
"2061","145 E DELAWARE PL",41.899075,-87.624323
"2062","200 E DELAWARE PL",41.899372,-87.621668
"2063","50 E DELAWARE PL",41.899361,-87.626584
"2064","100 W DIVISION ST",41.903993,-87.631607
"2065","800 W DIVISION ST",41.90367,-87.648166
"2066","600 W DIVISION ST",41.903756,-87.643244
"2067","95 E DIVISION ST",41.90398,-87.625112
"2068","200 W DIVISION ST",41.90396,-87.634688
"2069","130 W ELM ST",41.903265,-87.632132
"2070","1 W ELM ST",41.903072,-87.628807
"2071","40 W ERIE ST",41.894146,-87.629887
"2072","658 N ORLEANS ST",41.894089,-87.637285
"2073","135 W ERIE ST",41.893897,-87.632457
"2074","490 E ERIE ST",41.89441,-87.615574
"2075","135 E ERIE ST",41.894007,-87.623985
"208","4754 S UNION AVE",41.807628,-87.643236
"209","4033 S CALIFORNIA AVE",41.820324,-87.694385
"21","6712 N BOSWORTH AVE",42.00394,-87.669504
"210","3326 W CERMAK RD",41.851854,-87.708663
"2108","200 W 95TH ST",41.721839,-87.628862
"2109","200 W 95TH ST",41.721839,-87.628862
"211","9331 S HARVARD AVE",41.725453,-87.631715
"2110","200 W 95TH ST",41.721839,-87.628862
"2111","10768 S BENSLEY AVE",41.699752,-87.563356
"2112","10768 S BENSLEY AVE",41.699752,-87.563356
